step,tokens_seen,train_loss,val_loss,learning_rate
9940,81428480,4.872303,4.695252,0.00001001
9960,81592320,4.545750,4.695252,0.00001000
9980,81756160,4.531532,4.695252,0.00001000
10000,81920000,4.640315,4.686838,0.00001000
10020,82083840,4.541036,4.686838,0.00001000
10040,82247680,4.804984,4.686838,0.00001000
10060,82411520,4.692751,4.686838,0.00001000
10080,82575360,4.802046,4.686838,0.00001000
10100,82739200,4.713938,4.686838,0.00001000
10120,82903040,4.761218,4.686838,0.00001000
10140,83066880,4.614521,4.686838,0.00001000
10160,83230720,4.645455,4.686838,0.00001000
10180,83394560,4.778766,4.686838,0.00001000
10200,83558400,4.615395,4.747400,0.00001000
10220,83722240,4.690648,4.747400,0.00001000
10240,83886080,4.672107,4.747400,0.00001000
10260,84049920,4.730805,4.747400,0.00001000
10280,84213760,4.699886,4.747400,0.00001000
10300,84377600,4.612681,4.747400,0.00001000
10320,84541440,4.536163,4.747400,0.00001000
10340,84705280,4.779796,4.747400,0.00001000
10360,84869120,4.610524,4.747400,0.00001000
10380,85032960,4.951117,4.747400,0.00001000
10400,85196800,4.702085,4.703688,0.00001000
10420,85360640,4.806875,4.703688,0.00001000
10440,85524480,4.632100,4.703688,0.00001000
10460,85688320,4.664974,4.703688,0.00001000
10480,85852160,4.614693,4.703688,0.00001000
10500,86016000,4.707810,4.703688,0.00001000
10520,86179840,4.830605,4.703688,0.00001000
10540,86343680,4.669629,4.703688,0.00001000
10560,86507520,4.805111,4.703688,0.00001000
10580,86671360,4.780826,4.703688,0.00001000
10600,86835200,4.642640,4.657398,0.00001000
10620,86999040,4.692300,4.657398,0.00001000
10640,87162880,4.750250,4.657398,0.00001000
10660,87326720,4.643657,4.657398,0.00001000
10680,87490560,4.725732,4.657398,0.00001000
10700,87654400,4.483981,4.657398,0.00001000
10720,87818240,4.608459,4.657398,0.00001000
10740,87982080,4.638731,4.657398,0.00001000
10760,88145920,4.588719,4.657398,0.00001000
10780,88309760,4.607494,4.657398,0.00001000
10800,88473600,4.611277,4.703711,0.00001000
10820,88637440,4.548841,4.703711,0.00001000
10840,88801280,4.805661,4.703711,0.00001000
10860,88965120,4.827085,4.703711,0.00001000
10880,89128960,4.582549,4.703711,0.00001000
10900,89292800,4.691666,4.703711,0.00001000
10920,89456640,4.669843,4.703711,0.00001000
10940,89620480,4.449855,4.703711,0.00001000
10960,89784320,4.481064,4.703711,0.00001000
10980,89948160,4.536167,4.703711,0.00001000
11000,90112000,4.658252,4.728090,0.00001000
11020,90275840,4.641448,4.728090,0.00001000
11040,90439680,4.734615,4.728090,0.00001000
11060,90603520,4.784644,4.728090,0.00001000
11080,90767360,4.727110,4.728090,0.00001000
11100,90931200,4.753027,4.728090,0.00001000
11120,91095040,4.860726,4.728090,0.00001000
11140,91258880,4.857432,4.728090,0.00001000
11160,91422720,4.708163,4.728090,0.00001000
11180,91586560,4.531288,4.728090,0.00001000
11200,91750400,4.707538,4.594315,0.00001000
11220,91914240,4.720293,4.594315,0.00001000
11240,92078080,4.770687,4.594315,0.00001000
11260,92241920,4.763665,4.594315,0.00001000
11280,92405760,4.734873,4.594315,0.00001000
11300,92569600,4.722201,4.594315,0.00001000
11320,92733440,4.659938,4.594315,0.00001000
11340,92897280,4.813811,4.594315,0.00001000
11360,93061120,4.477984,4.594315,0.00001000
11380,93224960,4.767842,4.594315,0.00001000
11400,93388800,4.793064,4.736039,0.00001000
11420,93552640,4.789544,4.736039,0.00001000
11440,93716480,4.512157,4.736039,0.00001000
11460,93880320,4.682471,4.736039,0.00001000
11480,94044160,4.629772,4.736039,0.00001000
11500,94208000,4.495464,4.736039,0.00001000
11520,94371840,4.525266,4.736039,0.00001000
11540,94535680,4.682245,4.736039,0.00001000
11560,94699520,4.868642,4.736039,0.00001000
11580,94863360,4.788916,4.736039,0.00001000
11600,95027200,4.641654,4.647973,0.00001000
11620,95191040,4.708800,4.647973,0.00001000
11640,95354880,4.693154,4.647973,0.00001000
11660,95518720,4.665383,4.647973,0.00001000
11680,95682560,4.667153,4.647973,0.00001000
11700,95846400,4.725513,4.647973,0.00001000
11720,96010240,4.868721,4.647973,0.00001000
11740,96174080,4.703165,4.647973,0.00001000
11760,96337920,4.566870,4.647973,0.00001000
11780,96501760,4.857809,4.647973,0.00001000
