step,tokens_seen,train_loss,val_loss,learning_rate
4740,38830080,2.402231,2.502513,0.00001805
4760,38993920,2.826439,2.502513,0.00001797
4780,39157760,2.535436,2.502513,0.00001788
4800,39321600,2.621913,2.824586,0.00001780
4820,39485440,2.537718,2.824586,0.00001771
4840,39649280,2.584739,2.824586,0.00001762
4860,39813120,3.018180,2.824586,0.00001754
4880,39976960,2.217786,2.824586,0.00001745
4900,40140800,2.919053,2.824586,0.00001736
4920,40304640,2.668323,2.824586,0.00001728
4940,40468480,2.997046,2.824586,0.00001719
4960,40632320,2.495514,2.824586,0.00001711
4980,40796160,3.001843,2.824586,0.00001702
5000,40960000,2.592026,2.553192,0.00001693
5020,41123840,2.524428,2.553192,0.00001685
5040,41287680,2.822657,2.553192,0.00001676
5060,41451520,2.513079,2.553192,0.00001667
5080,41615360,2.450827,2.553192,0.00001659
5100,41779200,2.788689,2.553192,0.00001650
5120,41943040,2.413560,2.553192,0.00001641
5140,42106880,2.755819,2.553192,0.00001633
5160,42270720,2.561111,2.553192,0.00001624
5180,42434560,2.566228,2.553192,0.00001615
5200,42598400,2.650050,2.572232,0.00001607
5220,42762240,2.599558,2.572232,0.00001598
5240,42926080,3.016334,2.572232,0.00001589
5260,43089920,2.480793,2.572232,0.00001581
5280,43253760,2.867521,2.572232,0.00001572
5300,43417600,2.687885,2.572232,0.00001564
5320,43581440,2.520555,2.572232,0.00001555
5340,43745280,3.082342,2.572232,0.00001546
5360,43909120,2.628029,2.572232,0.00001538
5380,44072960,2.296921,2.572232,0.00001529
5400,44236800,2.619984,2.506874,0.00001520
5420,44400640,2.560173,2.506874,0.00001512
5440,44564480,2.509758,2.506874,0.00001503
5460,44728320,2.961416,2.506874,0.00001495
5480,44892160,2.499516,2.506874,0.00001486
5500,45056000,2.503498,2.506874,0.00001477
5520,45219840,2.726042,2.506874,0.00001469
5540,45383680,2.548153,2.506874,0.00001460
5560,45547520,2.729893,2.506874,0.00001452
5580,45711360,2.586135,2.506874,0.00001443
5600,45875200,2.404938,2.453261,0.00001435
5620,46039040,2.783170,2.453261,0.00001426
5640,46202880,2.709985,2.453261,0.00001417
5660,46366720,2.286697,2.453261,0.00001409
5680,46530560,2.424516,2.453261,0.00001400
5700,46694400,2.195724,2.453261,0.00001392
5720,46858240,2.295529,2.453261,0.00001383
5740,47022080,2.464865,2.453261,0.00001375
5760,47185920,2.860051,2.453261,0.00001366
5780,47349760,2.604587,2.453261,0.00001358
5800,47513600,2.506853,2.709315,0.00001350
5820,47677440,2.213321,2.709315,0.00001341
5840,47841280,2.383699,2.709315,0.00001333
5860,48005120,2.483518,2.709315,0.00001324
5880,48168960,2.842752,2.709315,0.00001316
5900,48332800,2.458961,2.709315,0.00001308
5920,48496640,2.807776,2.709315,0.00001299
5940,48660480,2.527880,2.709315,0.00001291
5960,48824320,2.521564,2.709315,0.00001283
5980,48988160,2.280617,2.709315,0.00001274
6000,49152000,2.457879,2.649741,0.00001266
6020,49315840,2.794080,2.649741,0.00001258
6040,49479680,2.487872,2.649741,0.00001249
6060,49643520,2.725387,2.649741,0.00001241
6080,49807360,2.764343,2.649741,0.00001233
6100,49971200,2.594960,2.649741,0.00001225
6120,50135040,2.327597,2.649741,0.00001216
6140,50298880,2.548487,2.649741,0.00001208
